년계절,지점,평균기온(℃),평균최저기온(℃),평균최고기온(℃)
1981 봄,108,11.2,6.5,16.7
1982 봄,108,12,7.6,17.3
1983 봄,108,12.8,7.9,18
1984 봄,108,10.9,6.5,16.4
1985 봄,108,11.3,6.7,17
1986 봄,108,11.3,6.6,16.8
1987 봄,108,10.6,6.1,15.8
1988 봄,108,11.2,6.6,16.3
1989 봄,108,12.8,8.1,18.2
1990 봄,108,11.6,7.5,16.3
1991 봄,108,11.8,7,17.2
1992 봄,108,12,7.4,17.2
1993 봄,108,11.5,7.2,16.7
1994 봄,108,12.4,7.8,17.8
1995 봄,108,11.5,6.9,16.4
1996 봄,108,11.2,6.7,16.3
1997 봄,108,12.3,7.9,17.1
1998 봄,108,14,9.3,19.2
1999 봄,108,12.7,7.6,17.9
2000 봄,108,11.9,7.3,17
2001 봄,108,12.6,8.1,17.8
2002 봄,108,13.1,8.6,18.2
2003 봄,108,13.1,8.8,17.8
2004 봄,108,12.3,8.1,17.2
2005 봄,108,11.7,7.4,16.6
2006 봄,108,11.7,7.5,16.5
2007 봄,108,11.9,7.8,16.6
2008 봄,108,13,8.7,18
2009 봄,108,12.6,8.2,17.6
2010 봄,108,10.3,6.4,14.7
2011 봄,108,10.7,6.8,15.6
2012 봄,108,12.4,8.2,17.5
2013 봄,108,11.1,6.7,16.5
2014 봄,108,13.6,8.9,19.3
2015 봄,108,12.8,7.7,18.7
2016 봄,108,13.6,8.5,19.5
2017 봄,108,13.2,8.4,19.2
2018 봄,108,13.1,8.4,18.5
2019 봄,108,12.9,7.9,18.5
2020 봄,108,12.3,7.5,17.7
2021 봄,108,13.4,8.9,18.7
2022 봄,108,13.9,9,19.4
2023 봄,108,14.4,9.2,20.1
			

